"id","criterion","description","eventSubType","eventType","severity","telemetryCode","title","vendingMachineType","vendorId"
"6c43d56e-def7-4043-8c86-420619dd4cfc","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","DS","TECHNICAL","RED","0000","Display Event","NA","NA"
"e7e75d77-98fe-4ba7-9d9b-506f1cf0f22a","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","PR","TECHNICAL","RED","0000","Printer Event","NA","NA"
"fd0a3fb7-389c-4e02-acc5-760f12ef9b9c","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""N"":""70""}}},""title"":{""S"":""""},""criteria"":{""S"":""CA""}}}]","","PT","TECHNICAL","RED","0000","Product Temperature Events","NA","NA"
"f895a524-3a9b-4a4c-8d94-112b725637d6","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""S"":""NO_SALE_FOR_A_DAY""}}},""title"":{""S"":""No Sales for a day""},""criteria"":{""S"":""CE""}}}]","","AN","STOCK","AMBER","0000","Analytics Telemetry","NA","NA"
"a336c80d-71f8-43b3-924e-8e849b06e17d","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","MO","TECHNICAL","RED","0000","Motor Event","NA","NA"
"b19fd307-992e-4847-b36a-cff01cb9078b","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","QR","TECHNICAL","RED","0000","QR Scanner Event","NA","NA"
"2414bdfc-d20c-4587-a081-b52bcebcd1db","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""Vend Failed""},""criteria"":{""S"":""CE""}}}]","","VE","TECHNICAL","RED","0001","Vend Failed","NA","NA"
"08b5af85-4288-4abf-8ae9-687558246ac3","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","SE","TECHNICAL","RED","0000","SmartBox Events","NA","NA"
"cb5ac947-cf32-4490-a57d-2c44aa8685d8","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","SC","TECHNICAL","RED","0000","Screen Event","NA","NA"
"c0def05e-447e-4702-b8cb-6b181ec0ca89","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","DR","TECHNICAL","RED","0000","Door Event","NA","NA"
"49e983aa-f35e-4e21-bd0a-d34abf54a0ac","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","WS","TECHNICAL","RED","0000","Sensor Event","NA","NA"
"a5bdf264-2dfa-44c3-b8ad-7b886034bfdc","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","PM","TECHNICAL","RED","0000","Printer Event","NA","NA"
"ef169ed3-be0c-4316-96d5-11480077a773","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""S"":""MACHINE_OFFLINE""}}},""title"":{""S"":""Machine went offline""},""criteria"":{""S"":""CE""}}},{""M"":{""eventCode"":{""S"":""B""},""severity"":{""S"":""INFO""},""threshold"":{""M"":{""value"":{""S"":""MACHINE_ONLINE""}}},""title"":{""S"":""Machine is online""},""criteria"":{""S"":""CE""}}}]","","NW","TECHNICAL","RED","0000","Network Event","NA","NA"
"a69e7a19-5612-4706-a309-0d789f640652","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","BT","TECHNICAL","RED","0000","Battery Event","NA","NA"
"31ed3b64-8ca5-4e63-bd3a-046526878b22","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""L"":[{""S"":""Test""}]}}},""title"":{""S"":""""},""criteria"":{""S"":""CI""}}}]","","SH","TECHNICAL","AMBER","0000","CPU Speed","NA","NA"
"6eade5bb-4cf1-4151-b36b-61217d3492f4","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","VP","TECHNICAL","RED","0000","Port Event","NA","NA"
"76d5c62c-ece4-44dc-bff9-0eebe19abf66","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","PE","TECHNICAL","RED","0000","Payment Event","NA","NA"
"79d43732-5659-4a1c-883b-b21106ac4aa9","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":true}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","VE","TECHNICAL","INFO","0000","Vend Success","NA","NA"
"09ba2046-b036-4aa7-8ae4-07bc09dd28c3","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""N"":""4000""}}},""title"":{""S"":""""},""criteria"":{""S"":""CA""}}}]","","SH","TECHNICAL","RED","0003","Machine Uptime","NA","NA"
"0c0f7486-75b4-423f-b6d3-6dfbcdbb272c","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","LI","TECHNICAL","RED","0000","Light Events","NA","NA"
"af5b2c32-f886-49c8-a5ab-52c49b2d9dd4","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""BOOL"":false}}},""title"":{""S"":""""},""criteria"":{""S"":""CE""}}}]","","LT","TECHNICAL","RED","0000","Lift Event","NA","NA"
"0ee608ce-3532-49f6-8545-43e5cd2a86fa","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""N"":""80""}}},""title"":{""S"":""CPU Temperature is high""},""criteria"":{""S"":""CA""}}},{""M"":{""eventCode"":{""S"":""B""},""severity"":{""S"":""AMBER""},""threshold"":{""M"":{""value"":{""N"":""50""}}},""title"":{""S"":""CPU Temperature is low""},""criteria"":{""S"":""CA""}}}]","","SH","TECHNICAL","AMBER","0001","CPU Temperature","NA","NA"
"b3ee95b9-8578-4642-89ad-8a4c43b13387","[{""M"":{""eventCode"":{""S"":""A""},""severity"":{""S"":""RED""},""threshold"":{""M"":{""value"":{""N"":""200""}}},""title"":{""S"":""""},""criteria"":{""S"":""CB""}}}]","","SH","TECHNICAL","RED","0002","Free memory issue","NA","NA"